product_id;product_name;description;brand;base_price;variant_id;variant_size;variant_color;variant_price;variant_stock;image_url
sneaker-1;"Nike Air Force 1";"Our spicy-inspired Sausages brings a taste of luxury to your glaring lifestyle";"Nike";202;1dfff343-fa2e-4bfe-9d87-bc20a40e62e3;41;Blue;195;18;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-1;"Nike Air Force 1";"Our spicy-inspired Sausages brings a taste of luxury to your glaring lifestyle";"Nike";202;c2ab03ae-56ed-4a8a-beda-c97f96bf51f6;42;Green;218;19;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-1;"Nike Air Force 1";"Our spicy-inspired Sausages brings a taste of luxury to your glaring lifestyle";"Nike";202;f53db656-f276-4d6f-a0a6-103046190160;44;Red;210;31;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-1;"Nike Air Force 1";"Our spicy-inspired Sausages brings a taste of luxury to your glaring lifestyle";"Nike";202;eeca49e1-8674-4cef-a41f-9ec0252c3315;44;Red;199;0;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-1;"Nike Air Force 1";"Our spicy-inspired Sausages brings a taste of luxury to your glaring lifestyle";"Nike";202;db6685c8-a428-4387-b7f4-d0e639d18e62;38;Red;223;14;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-2;"Nike Air Max 90";"Stylish Chicken designed to make you stand out with moist looks";"Nike";198;f9cbcf79-9ee1-49d9-b7dd-b47741df9d04;39;Green;199;3;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-2;"Nike Air Max 90";"Stylish Chicken designed to make you stand out with moist looks";"Nike";198;51e4e23e-4d6e-447f-89f3-5de1bfb49e81;43;Red;211;48;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-2;"Nike Air Max 90";"Stylish Chicken designed to make you stand out with moist looks";"Nike";198;1324a610-0ada-4f58-a782-7ae6cfa87856;43;Black;228;3;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-3;"Nike Dunk Low";"Discover the bear-like agility of our Table, perfect for roasted users";"Nike";225;09b423f3-e134-4c8f-b242-8c5bf528267d;45;Green;237;30;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-3;"Nike Dunk Low";"Discover the bear-like agility of our Table, perfect for roasted users";"Nike";225;3e349b3a-fd68-4d2c-ba0b-34fc25e2f17c;42;Green;217;28;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-3;"Nike Dunk Low";"Discover the bear-like agility of our Table, perfect for roasted users";"Nike";225;928fdb68-4a0b-4702-a75c-4f38ba28be5c;40;Blue;215;1;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-3;"Nike Dunk Low";"Discover the bear-like agility of our Table, perfect for roasted users";"Nike";225;21745673-5b08-4574-b0c1-96d617b653df;41;White;206;37;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-3;"Nike Dunk Low";"Discover the bear-like agility of our Table, perfect for roasted users";"Nike";225;b2461d6e-ebf7-4ff8-9ebd-0a6ce5564c65;45;Blue;215;36;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-4;"Nike Air Jordan 1";"Abshire, Waelchi and VonRueden's most advanced Soap technology increases bitter capabilities";"Nike";165;43c0fdc4-734d-429b-937c-5674092b1388;39;Red;172;16;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-4;"Nike Air Jordan 1";"Abshire, Waelchi and VonRueden's most advanced Soap technology increases bitter capabilities";"Nike";165;dea2472e-c103-4187-9d47-29452d16559c;44;Grey;156;46;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-4;"Nike Air Jordan 1";"Abshire, Waelchi and VonRueden's most advanced Soap technology increases bitter capabilities";"Nike";165;7c3e6eef-0399-4baf-8465-8b2ed94ccf5b;44;Beige;160;49;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-5;"Nike Blazer Mid";"Innovative Computer featuring simple technology and Concrete construction";"Nike";86;2503b920-ef26-450f-9892-e90490a1e3b1;44;Blue;113;25;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-5;"Nike Blazer Mid";"Innovative Computer featuring simple technology and Concrete construction";"Nike";86;cfc3bfc0-7719-4baa-8d9b-c31a96af304d;45;Grey;113;19;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-5;"Nike Blazer Mid";"Innovative Computer featuring simple technology and Concrete construction";"Nike";86;4c6bfb25-bbd4-4bbb-998d-445c93621042;38;Green;115;0;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-6;"Nike Air Max 97";"Discover the penguin-like agility of our Sausages, perfect for amused users";"Nike";148;359afbad-a7dd-4974-99d7-6aff7975f779;45;White;130;37;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-6;"Nike Air Max 97";"Discover the penguin-like agility of our Sausages, perfect for amused users";"Nike";148;7fbf1ab5-df76-438e-9b74-66cea5bd4497;39;Beige;144;22;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-6;"Nike Air Max 97";"Discover the penguin-like agility of our Sausages, perfect for amused users";"Nike";148;a6f5764e-77a9-430a-b3d9-0fbde6e9f129;42;Black;128;23;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-6;"Nike Air Max 97";"Discover the penguin-like agility of our Sausages, perfect for amused users";"Nike";148;8768d382-743b-4184-8539-46e70bcab8b4;39;Red;155;29;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-6;"Nike Air Max 97";"Discover the penguin-like agility of our Sausages, perfect for amused users";"Nike";148;aee3f59b-b2e7-4407-a891-452c30d9a79f;42;Black;128;31;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-6;"Nike Air Max 97";"Discover the penguin-like agility of our Sausages, perfect for amused users";"Nike";148;cde37bd5-b87a-4483-bb6e-bb0f0274c4fa;41;Grey;132;16;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-7;"Nike Cortez";"The sleek and poor Fish comes with plum LED lighting for smart functionality";"Nike";106;d834a962-2f67-4d6e-9fc8-bca62e5ffc69;43;Black;110;46;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-7;"Nike Cortez";"The sleek and poor Fish comes with plum LED lighting for smart functionality";"Nike";106;512715a9-d8c1-4deb-a7e8-d78f9fc9827e;38;Red;130;35;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-7;"Nike Cortez";"The sleek and poor Fish comes with plum LED lighting for smart functionality";"Nike";106;5797593f-1f1e-4ad3-a9ef-50e647f6c4af;40;Blue;93;27;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-8;"Nike LeBron 20";"Jones, Balistreri and Wyman's most advanced Mouse technology increases early capabilities";"Nike";87;41470c11-e6a6-419c-97a4-f28b15c349c9;43;Beige;114;44;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-8;"Nike LeBron 20";"Jones, Balistreri and Wyman's most advanced Mouse technology increases early capabilities";"Nike";87;f134aed8-beb5-4e32-88c8-481816795bc7;42;White;90;42;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-8;"Nike LeBron 20";"Jones, Balistreri and Wyman's most advanced Mouse technology increases early capabilities";"Nike";87;2e34e3ec-81b6-4d75-9ebc-0a56f8107f88;40;Black;115;35;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-8;"Nike LeBron 20";"Jones, Balistreri and Wyman's most advanced Mouse technology increases early capabilities";"Nike";87;530e5e6c-d403-4de4-b54b-e1f485bb38be;41;Black;116;46;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-9;"Nike Kyrie 7";"Savor the moist essence in our Table, designed for impressive culinary adventures";"Nike";128;613b98f1-3d1d-4cb5-92d7-666518cfa930;41;Grey;141;22;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-9;"Nike Kyrie 7";"Savor the moist essence in our Table, designed for impressive culinary adventures";"Nike";128;51a370b5-0ce3-46df-8616-f17d27b14be9;43;White;110;17;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-9;"Nike Kyrie 7";"Savor the moist essence in our Table, designed for impressive culinary adventures";"Nike";128;66f782c9-6d02-43ae-8592-6f39ee0fc498;43;Black;147;33;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-9;"Nike Kyrie 7";"Savor the moist essence in our Table, designed for impressive culinary adventures";"Nike";128;bdbd9be3-a381-4dbd-bbfe-958c5334da36;40;Black;127;50;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-9;"Nike Kyrie 7";"Savor the moist essence in our Table, designed for impressive culinary adventures";"Nike";128;63eeff6a-be28-4725-b3ab-b52cbad82a7c;41;Beige;132;28;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-10;"Nike Air Zoom Pegasus";"The sleek and creative Cheese comes with azure LED lighting for smart functionality";"Nike";113;dedca0e5-e024-4357-b07b-c6353a4a810b;42;Blue;124;1;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-10;"Nike Air Zoom Pegasus";"The sleek and creative Cheese comes with azure LED lighting for smart functionality";"Nike";113;6af9ceeb-a4d8-4793-a6b4-40579b43d467;43;Grey;110;18;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-10;"Nike Air Zoom Pegasus";"The sleek and creative Cheese comes with azure LED lighting for smart functionality";"Nike";113;fdac6a9b-0cc6-4a77-b28c-537577514631;41;Green;113;45;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-10;"Nike Air Zoom Pegasus";"The sleek and creative Cheese comes with azure LED lighting for smart functionality";"Nike";113;76ddf63f-4004-4d99-82cd-a4557eaab10b;39;Grey;140;25;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-10;"Nike Air Zoom Pegasus";"The sleek and creative Cheese comes with azure LED lighting for smart functionality";"Nike";113;7293fcb0-7caa-43a2-ab62-6351fe67e228;40;Beige;93;16;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-11;"Adidas Superstar";"Altenwerth Group's most advanced Cheese technology increases far-off capabilities";"Adidas";195;6bd6c91c-3644-4d26-9b89-4e072be862f8;43;White;191;32;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-11;"Adidas Superstar";"Altenwerth Group's most advanced Cheese technology increases far-off capabilities";"Adidas";195;70a8363c-089f-485b-8a37-b17ab2a78666;40;Beige;205;1;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-11;"Adidas Superstar";"Altenwerth Group's most advanced Cheese technology increases far-off capabilities";"Adidas";195;27089dff-1746-420c-b8fb-5637c0814132;38;Blue;208;28;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-11;"Adidas Superstar";"Altenwerth Group's most advanced Cheese technology increases far-off capabilities";"Adidas";195;d0da8dd0-0311-43eb-b88e-54dc64be15ec;45;Beige;206;41;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-12;"Adidas Stan Smith";"Ergonomic Pants made with Silk for all-day annual support";"Adidas";242;8a5b58e4-bd3f-4e5d-b551-ced8f489cc03;45;Red;242;41;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-12;"Adidas Stan Smith";"Ergonomic Pants made with Silk for all-day annual support";"Adidas";242;67f1be06-70cf-4b3a-ba40-e8d13c486091;40;Blue;238;6;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-12;"Adidas Stan Smith";"Ergonomic Pants made with Silk for all-day annual support";"Adidas";242;53776674-5c7a-486d-9bf8-701c9852ac38;43;Beige;241;12;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-12;"Adidas Stan Smith";"Ergonomic Pants made with Silk for all-day annual support";"Adidas";242;2009c166-eecb-4c76-9eb5-5b06c62c4483;45;Red;250;33;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-13;"Adidas Ultraboost";"New Keyboard model with 12 GB RAM, 918 GB storage, and that features";"Adidas";230;e0e56bd9-0fc4-411b-933c-690483ec09ef;38;Grey;239;34;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-13;"Adidas Ultraboost";"New Keyboard model with 12 GB RAM, 918 GB storage, and that features";"Adidas";230;f17d21cc-2650-475c-872e-3c3066d36bfd;39;Black;220;21;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-13;"Adidas Ultraboost";"New Keyboard model with 12 GB RAM, 918 GB storage, and that features";"Adidas";230;e99624c4-54f3-4417-be4b-e413a962edf2;41;Beige;226;23;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-14;"Adidas NMD R1";"Savor the sour essence in our Shirt, designed for staid culinary adventures";"Adidas";129;25221287-9706-4517-ba7a-84f91e9eae48;40;White;128;34;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-14;"Adidas NMD R1";"Savor the sour essence in our Shirt, designed for staid culinary adventures";"Adidas";129;f77ff401-ffe8-4028-b81f-1c3d28cdef16;38;Beige;120;37;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-14;"Adidas NMD R1";"Savor the sour essence in our Shirt, designed for staid culinary adventures";"Adidas";129;06c075a7-223e-44b0-8767-22a4acfab8ab;39;Beige;152;9;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-15;"Adidas Forum Low";"Discover the orange new Shoes with an exciting mix of Metal ingredients";"Adidas";176;bac45a58-f21b-4a94-9fb8-0f9798c6f594;45;Black;195;49;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-15;"Adidas Forum Low";"Discover the orange new Shoes with an exciting mix of Metal ingredients";"Adidas";176;c14662e1-fe04-42d9-be41-ab62fc1f560e;45;Red;197;20;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-15;"Adidas Forum Low";"Discover the orange new Shoes with an exciting mix of Metal ingredients";"Adidas";176;4d75ce1a-4ea8-4434-811d-1d754d5202f6;42;Blue;201;44;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-16;"Adidas Samba";"Discover the peacock-like agility of our Fish, perfect for radiant users";"Adidas";128;c8a3e2f4-b141-40d7-9a49-491a581c2f0f;41;Green;144;1;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-16;"Adidas Samba";"Discover the peacock-like agility of our Fish, perfect for radiant users";"Adidas";128;a9971910-6cf0-4808-9d22-3cdfa9908926;38;White;116;43;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-16;"Adidas Samba";"Discover the peacock-like agility of our Fish, perfect for radiant users";"Adidas";128;fb35c143-257a-45c7-bf79-257b34da3fd2;41;Beige;151;50;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-16;"Adidas Samba";"Discover the peacock-like agility of our Fish, perfect for radiant users";"Adidas";128;fb8f7a20-59a2-43fe-9642-401db43dea3a;40;Grey;117;1;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-16;"Adidas Samba";"Discover the peacock-like agility of our Fish, perfect for radiant users";"Adidas";128;1a40325e-5f28-4cfd-8c02-872a0878dd27;42;Grey;116;25;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-17;"Adidas Gazelle";"Our bird-friendly Gloves ensures that comfort for your pets";"Adidas";94;2f22bf90-0534-46e9-afb4-af9462be7f09;43;Black;100;2;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-17;"Adidas Gazelle";"Our bird-friendly Gloves ensures that comfort for your pets";"Adidas";94;869851de-96e8-493e-881a-63405beb8b81;43;Green;86;50;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-17;"Adidas Gazelle";"Our bird-friendly Gloves ensures that comfort for your pets";"Adidas";94;37f524d7-d0e3-4dad-a246-8a56b962adf0;45;Grey;113;36;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-18;"Adidas Yeezy Boost 350";"The Kyla Cheese is the latest in a series of enraged products from Johnston LLC";"Adidas";243;86fea4f3-eddd-446a-96b6-f1d7cb7caf1a;39;White;232;15;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-18;"Adidas Yeezy Boost 350";"The Kyla Cheese is the latest in a series of enraged products from Johnston LLC";"Adidas";243;d96bc1d1-3596-40b2-ad84-5b8fe4ebb56d;44;Blue;255;32;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-18;"Adidas Yeezy Boost 350";"The Kyla Cheese is the latest in a series of enraged products from Johnston LLC";"Adidas";243;112e5187-ddb4-4c11-a6c6-8f2abe2148f2;39;Grey;231;13;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-19;"Adidas Yeezy 700";"The sleek and queasy Pants comes with salmon LED lighting for smart functionality";"Adidas";184;88452c9e-7c4f-43ef-a7ba-bdf0a0260c32;40;Green;201;2;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-19;"Adidas Yeezy 700";"The sleek and queasy Pants comes with salmon LED lighting for smart functionality";"Adidas";184;c0f5fc53-0fc5-4250-b3ad-28eda9823e06;39;Blue;166;21;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-19;"Adidas Yeezy 700";"The sleek and queasy Pants comes with salmon LED lighting for smart functionality";"Adidas";184;678116ac-92d0-4ea9-8d2d-d6f03a9629cf;39;Green;193;3;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-20;"Adidas Ozweego";"Daniel, Murphy and Mueller's most advanced Tuna technology increases lazy capabilities";"Adidas";125;d7a43ab3-f45b-4605-826f-caf58068834d;44;Grey;137;29;"https://via.placeholder.com/600x600.png?text=Sneaker"
sneaker-20;"Adidas Ozweego";"Daniel, Murphy and Mueller's most advanced Tuna technology increases lazy capabilities";"Adidas";125;79b5efc0-994d-4088-b17f-21e910220995;39;Grey;128;33;"https://via.placeholder.com/600x600.png?text=Sneaker"
